時間,ツイート本文,いいね,リツイート,ID
2022-10-18 04:49:51+00:00,先日、地元の人が足繁く通う居酒屋で「この辺、サウナ全然ないですよね〜」と話したら「海あるんだし、テントサウナ買って設置すればいんだよ。いまにゅんち海近いじゃん」と言われました。僕としたことが、ない状況をどう打開すべきかまで考えられていなかったです。ないなら作ればいいんですよね。,11,1,1582232468278558721
2022-10-17 23:23:32+00:00,ありがとうございます！😆 https://t.co/nuD5lwcGss,1,0,1582150346750558208
2022-10-17 23:21:13+00:00,"毎日1つずつ積み重ねていきましょう。
https://t.co/XlNWsBi5Rp",5,0,1582149764975456257
2022-10-16 21:33:00+00:00,"昨日感じたことをお話しました。
https://t.co/rn9xKWP4JH",7,0,1581760142185443328
2022-10-16 09:00:00+00:00,日本と海外のサービスを比較すると、同機能だとしても日本製のほうが明らかに料金が高い。下手したら10倍くらい変わる。英語に抵抗なく海外ツール使いこなせるだけでも圧倒的なコスト削減につながりますね。しかもグローバルサービスだと、資本も人材数も桁が違うからアップデートが速い。,11,0,1581570645284081666
2022-10-16 02:43:03+00:00,最近は毎朝1時間で改善できることを必ず1つやるようにしてるのですが、これもまたオススメです。小さな改善でOK。1日1つ改善できれば1年で365個改善できる。当たり前の話ですが日々の積み重ね大事ですよね。,12,0,1581475783477932032
2022-10-16 02:41:10+00:00,類似ブランドのサイトをリサーチして、これ良いなと思った点を書き出してたら1時間で30個くらい出てきた。30分くらいで実装できそうなものから数ヶ月かけて変えていく必要があるもの、大小様々だけどしっかり実装できたら伸び代しかない。シンプルだけど威力抜群なこのリサーチ、まじオススメです。,14,0,1581475306249981954
2022-10-15 09:27:41+00:00,InstagramでPython（プログラミング）が学習できるコンテンツを絶賛準備中なのですが、おそらく11月下旬ごろに公開できそうです。Instagramならではのコンテンツをしっかり仕込んでいます。,39,2,1581215222391447553
2022-10-15 09:19:04+00:00,知り合いとワーケーションしたい🏝🧑‍💻,13,0,1581213055987220480
2022-10-15 09:00:00+00:00,"■ テレマティクス
自動車や船舶などの移動体に搭載した通信システムを利用して提供するサービスの総称。テレコミュニケーションとインフォマティクスの造語で、一番身近な例はカーナビです。カーナビは車両の位置情報をもとに周辺の道路情報を取得しドライバー支援（ルート変更等）を行います。 https://t.co/hvhsIS611S",6,1,1581208258777296900
2022-10-15 03:12:19+00:00,中身はつめていないのですが、企画化・コンテンツ化するために、『無料』で対応する予定です。,7,0,1581120757962113024
2022-10-14 22:47:12+00:00,想定していたより反応薄い！ https://t.co/vQFHZe1wn4,2,0,1581054039797551105
2022-10-14 09:23:28+00:00,"それなりに工数かかることが予想されるので、反応悪かったら実施しません🙇‍♂️
アイディアベースの段階なので何も詳細詰まっていませんが、Python（プログラミング）の基礎を習得し、何らか1つを形にするところまでをサポートするようなイメージです。",11,0,1580851774239301632
2022-10-14 09:00:00+00:00,"■企画検討中
プログラミングに挫折した人を対象に、いまにゅがマンツーマン（オンライン）でサポートする企画があったら参加したい人ってどれぐらいいますかね？実施してほしい！って人はいいね、リツイートお願いします🙏実施可否、条件等は反応次第で決めていく予定です。ゴールはPython基礎習得。",79,30,1580845867573006336
2022-10-14 08:26:19+00:00,"@takiteazy_E 
新講座つくるチャンスだよ！Power石田！
パッと見た感じ無料プランはなさそう🤔",4,0,1580837392033816576
2022-10-14 08:25:38+00:00,"Microsoftのローコードページビルダー出たんだ。ノーコードじゃなくてローコードなのね。今度触ってみよっと。既存のPower Platformとの連携もできるみたいだ。

Power Pages
https://t.co/NCOfxwQRJE",8,1,1580837221875077120
2022-10-14 02:21:34+00:00,言語化の神様。 https://t.co/ut1c7PHi7r,3,1,1580745599418175488
2022-10-13 09:00:00+00:00,"■ シンギュラリティ（IT用語100選から抜粋）
人工知能分野でいうシンギュラリティとは、人工知能が自身を超える人工知能を作れるようになった瞬間に人間の創造を超越した知性が誕生する、という仮説のことです。技術的特異点とも呼ばれ、1980年代からAI研究家の間で使用されるようになった言葉です。 https://t.co/SA8cjp9CMw",10,1,1580483480311410688
2022-10-13 08:35:01+00:00,データポータルがLooker Studioに名称変更したみたいです。,2,0,1580477195742740480
2022-10-13 08:20:02+00:00,デザイン的にRowsも好きなので候補に入りますが、今回繋げたいデータソースが対応していないからちとめんどい。,3,0,1580473422865653760
